t,target_id,x,y,z
0.0,GT,6000.0,2000.0,800.0
0.5,GT,5975.0,2000.0,800.0
1.0,GT,5950.0,2000.0,800.0
1.5,GT,5925.0,2000.0,800.0
2.0,GT,5900.0,2000.0,800.0
2.5,GT,5875.0,2000.0,800.0
3.0,GT,5850.0,2000.0,800.0
3.5,GT,5825.0,2000.0,800.0
4.0,GT,5800.0,2000.0,800.0
4.5,GT,5775.0,2000.0,800.0
5.0,GT,5750.0,2000.0,800.0
5.5,GT,5725.0,2000.0,800.0
6.0,GT,5700.0,2000.0,800.0
6.5,GT,5675.0,2000.0,800.0
7.0,GT,5650.0,2000.0,800.0
7.5,GT,5625.0,2000.0,800.0
8.0,GT,5600.0,2000.0,800.0
8.5,GT,5575.0,2000.0,800.0
9.0,GT,5550.0,2000.0,800.0
9.5,GT,5525.0,2000.0,800.0
10.0,GT,5500.0,2000.0,800.0
10.5,GT,5475.0,2000.0,800.0
11.0,GT,5450.0,2000.0,800.0
11.5,GT,5425.0,2000.0,800.0
12.0,GT,5400.0,2000.0,800.0
12.5,GT,5375.0,2000.0,800.0
13.0,GT,5350.0,2000.0,800.0
13.5,GT,5325.0,2000.0,800.0
14.0,GT,5300.0,2000.0,800.0
14.5,GT,5275.0,2000.0,800.0
15.0,GT,5250.0,2000.0,800.0
15.5,GT,5225.0,2000.0,800.0
16.0,GT,5200.0,2000.0,800.0
16.5,GT,5175.0,2000.0,800.0
17.0,GT,5150.0,2000.0,800.0
17.5,GT,5125.0,2000.0,800.0
18.0,GT,5100.0,2000.0,800.0
18.5,GT,5075.0,2000.0,800.0
19.0,GT,5050.0,2000.0,800.0
19.5,GT,5025.0,2000.0,800.0
